date,time,injury,age,sex
1/3/10,15:40,NONE,72,M
1/8/10,15:30,INJURED,59,M
1/27/10,19:30,INJURED,46,M
6/28/10,15:35,INJURED,0,F
9/30/10,17:50,INJURED,32,M
10/20/10,10:55,INJURED,37,M
1/8/11,20:10,INJURED,76,M
1/25/11,13:20,INJURED,50,M
1/25/11,18:20,INJURED,0,M
1/27/11,16:15,INJURED,26,M
2/11/11,14:00,INJURED,28,F
2/27/11,18:07,INJURED,92,M
3/18/11,20:20,INJURED,0,M
3/25/11,09:55,NONE,0,M
3/31/11,08:20,INJURED,90,M
4/20/11,21:00,INJURED,0,M
5/14/11,12:15,INJURED,71,M
5/18/11,21:30,INJURED,50,F
5/24/11,21:15,INJURED,0,M
6/7/11,10:50,INJURED,81,M
6/13/11,00:01,INJURED,43,M
7/15/11,23:15,INJURED,52,M
7/24/11,04:20,INJURED,82,M
8/12/11,22:55,INJURED,51,M
8/28/11,01:40,INJURED,70,M
9/4/11,15:35,INJURED,86,M
9/12/11,11:10,INJURED,70,F
9/21/11,12:25,INJURED,50,M
10/3/11,07:15,INJURED,68,M
10/17/11,18:15,INJURED,0,M
10/26/11,19:45,INJURED,47,M
10/31/11,18:40,INJURED,81,F
11/18/11,18:00,INJURED,35,M
12/1/11,15:50,INJURED,22,F
12/1/11,10:25,INJURED,44,F
12/4/11,21:25,INJURED,39,F
12/5/11,12:55,INJURED,34,F
12/12/11,19:30,INJURED,72,F
12/17/11,05:35,INJURED,60,F
12/18/11,19:25,INJURED,0,M
12/20/11,17:45,INJURED,63,M
12/27/11,17:45,INJURED,81,F
1/1/12,16:20,INJURED,20,F
1/1/12,15:40,INJURED,42,F
1/1/12,15:45,INJURED,0,M
1/1/12,15:15,INJURED,0,M
1/1/12,21:29,INJURED,0,F
1/2/12,21:30,INJURED,29,F
1/2/12,15:00,INJURED,42,F
1/2/12,17:15,INJURED,46,M
1/2/12,19:00,INJURED,78,M
1/2/12,19:00,INJURED,0,M
1/3/12,17:55,INJURED,23,M
1/3/12,17:55,NONE,31,M
1/3/12,16:20,INJURED,47,M
1/3/12,17:45,INJURED,47,F
1/3/12,17:30,NONE,53,M
1/3/12,17:40,INJURED,66,M
1/3/12,13:30,INJURED,70,M
1/4/12,19:10,INJURED,21,F
1/4/12,20:30,INJURED,30,M
1/4/12,19:30,INJURED,39,M
1/4/12,13:15,NONE,45,M
1/4/12,05:30,INJURED,80,M
1/4/12,11:00,INJURED,0,M
1/4/12,18:10,INJURED,0,F
1/4/12,12:40,INJURED,0,M
1/5/12,15:00,INJURED,20,M
1/5/12,11:30,NONE,22,M
1/5/12,17:30,INJURED,23,F
1/5/12,17:00,INJURED,29,M
1/5/12,08:05,INJURED,31,M
1/5/12,22:15,INJURED,52,M
1/5/12,10:50,INJURED,58,F
1/5/12,15:10,INJURED,0,M
1/6/12,13:00,INJURED,21,M
1/6/12,00:45,INJURED,23,M
1/6/12,18:30,INJURED,26,M
1/6/12,07:50,INJURED,32,M
1/6/12,19:10,INJURED,47,M
1/6/12,13:40,INJURED,49,F
1/6/12,09:10,INJURED,51,F
1/6/12,11:35,INJURED,55,M
1/6/12,18:10,INJURED,57,F
1/6/12,16:00,INJURED,58,M
1/6/12,12:15,NONE,62,M
1/7/12,18:05,INJURED,37,M
1/8/12,01:50,INJURED,25,M
1/8/12,15:30,INJURED,0,M
1/9/12,10:20,INJURED,21,F
1/9/12,11:15,INJURED,41,M
1/9/12,15:15,INJURED,54,M
1/9/12,13:25,INJURED,55,M
1/9/12,19:45,INJURED,55,F
1/9/12,12:50,INJURED,82,M
1/9/12,15:15,INJURED,0,
1/9/12,12:00,INJURED,0,M
1/9/12,09:40,INJURED,0,F
1/10/12,17:50,INJURED,20,F
1/10/12,20:30,INJURED,24,M
1/10/12,09:30,INJURED,26,F
1/10/12,17:30,INJURED,53,M
1/10/12,18:30,INJURED,73,M
1/10/12,08:45,INJURED,73,M
1/11/12,13:05,INJURED,23,F
1/11/12,22:55,INJURED,36,M
1/11/12,16:40,NONE,39,F
1/11/12,13:30,INJURED,52,M
1/11/12,19:30,INJURED,55,M
1/11/12,19:35,INJURED,63,M
1/12/12,16:15,INJURED,25,M
1/12/12,10:00,INJURED,27,M
1/12/12,02:50,INJURED,27,F
1/12/12,09:25,INJURED,30,M
1/12/12,18:55,NONE,42,M
1/12/12,23:00,INJURED,52,M
1/12/12,19:05,INJURED,0,F
1/12/12,20:45,INJURED,0,M
1/12/12,11:50,INJURED,0,F
1/13/12,10:50,INJURED,22,M
1/13/12,18:40,INJURED,27,M
1/13/12,15:05,INJURED,34,M
1/13/12,17:00,INJURED,39,F
1/13/12,20:40,INJURED,41,M
1/13/12,21:10,INJURED,47,M
1/13/12,13:20,INJURED,47,M
1/13/12,15:00,INJURED,51,M
1/13/12,11:20,INJURED,54,F
1/13/12,06:45,INJURED,56,M
1/13/12,18:25,INJURED,58,F
1/13/12,08:10,INJURED,80,F
1/13/12,17:30,INJURED,0,M
1/14/12,22:50,INJURED,46,F
1/14/12,18:10,INJURED,46,M
1/14/12,14:55,INJURED,57,F
1/14/12,09:05,INJURED,58,F
1/15/12,18:30,INJURED,34,M
1/15/12,09:40,INJURED,35,M
1/15/12,17:40,INJURED,36,M
1/15/12,05:45,INJURED,40,M
1/15/12,21:16,INJURED,43,M
1/15/12,16:40,INJURED,73,F
1/16/12,01:25,INJURED,26,F
1/16/12,13:20,INJURED,27,M
1/16/12,23:30,INJURED,31,M
1/16/12,17:50,INJURED,39,F
1/16/12,14:45,INJURED,46,M
1/16/12,14:45,NONE,59,M
1/16/12,18:30,INJURED,0,M
1/16/12,12:30,INJURED,0,F
1/17/12,17:30,INJURED,24,F
1/17/12,16:40,INJURED,25,M
1/17/12,02:00,INJURED,36,M
1/17/12,15:30,NONE,48,M
1/17/12,06:35,INJURED,48,M
1/17/12,04:30,INJURED,50,M
1/17/12,07:40,INJURED,71,F
1/17/12,07:40,NONE,0,M
1/18/12,11:00,INJURED,20,F
1/18/12,07:55,INJURED,25,M
1/18/12,18:00,NONE,26,F
1/18/12,07:10,INJURED,31,M
1/18/12,14:05,INJURED,32,F
1/18/12,15:50,INJURED,40,M
1/18/12,06:00,INJURED,44,M
1/18/12,10:25,INJURED,45,M
1/18/12,13:00,INJURED,54,F
1/18/12,17:00,INJURED,65,M
1/18/12,18:25,INJURED,0,M
1/18/12,20:00,INJURED,0,M
1/18/12,15:35,INJURED,0,F
1/19/12,14:45,INJURED,33,F
1/19/12,02:58,INJURED,34,F
1/19/12,19:56,INJURED,36,M
1/19/12,07:10,INJURED,38,M
1/19/12,08:00,INJURED,43,F
1/19/12,18:30,NONE,56,M
1/19/12,15:05,INJURED,0,F
1/19/12,21:10,INJURED,0,M
1/20/12,17:25,INJURED,23,M
1/20/12,17:00,INJURED,25,M
1/20/12,14:20,INJURED,25,M
1/20/12,19:30,INJURED,25,M
1/20/12,12:55,INJURED,28,M
1/20/12,15:30,INJURED,32,M
1/21/12,19:35,INJURED,20,F
1/21/12,20:20,INJURED,20,M
1/21/12,06:45,INJURED,25,M
1/21/12,01:30,INJURED,30,F
1/21/12,14:00,NONE,32,M
1/21/12,14:00,INJURED,35,M
1/21/12,18:00,INJURED,35,M
1/21/12,16:30,INJURED,39,M
1/21/12,13:30,INJURED,51,M
1/21/12,18:30,INJURED,63,M
1/21/12,16:35,INJURED,0,M
1/22/12,13:45,NONE,41,M
1/22/12,17:30,INJURED,47,M
1/23/12,20:55,INJURED,20,F
1/23/12,11:35,INJURED,20,M
1/23/12,06:25,INJURED,29,M
1/23/12,07:40,INJURED,34,F
1/23/12,11:45,INJURED,39,F
1/23/12,05:00,INJURED,49,M
1/23/12,16:35,INJURED,51,F
1/23/12,08:00,INJURED,54,M
1/23/12,05:35,INJURED,57,M
1/23/12,05:45,INJURED,58,F
1/23/12,08:50,INJURED,58,M
1/23/12,16:30,INJURED,61,F
1/24/12,15:05,INJURED,22,M
1/24/12,22:25,INJURED,23,F
1/24/12,11:10,INJURED,35,M
1/24/12,15:15,INJURED,41,F
1/24/12,17:25,INJURED,43,F
1/24/12,20:00,INJURED,50,M
1/24/12,18:35,INJURED,57,M
1/24/12,07:10,INJURED,71,F
1/24/12,19:20,INJURED,0,M
1/24/12,15:55,INJURED,0,M
1/25/12,14:45,INJURED,32,M
1/25/12,08:20,INJURED,44,M
1/25/12,23:00,INJURED,52,M
1/25/12,14:55,INJURED,52,F
1/25/12,11:20,INJURED,57,F
1/25/12,13:00,INJURED,65,M
1/25/12,06:35,INJURED,77,M
1/25/12,15:25,INJURED,77,M
1/25/12,19:15,NONE,99,M
1/25/12,19:50,NONE,0,M
1/25/12,07:25,INJURED,0,M
1/25/12,18:25,INJURED,0,M
1/26/12,11:05,INJURED,20,M
1/26/12,13:20,INJURED,47,M
1/26/12,19:50,INJURED,47,F
1/26/12,19:00,INJURED,51,M
1/26/12,19:05,INJURED,54,M
1/26/12,16:40,INJURED,55,M
1/26/12,07:55,INJURED,59,M
1/26/12,18:25,INJURED,0,M
1/26/12,18:00,INJURED,0,M
1/27/12,11:10,INJURED,32,F
1/27/12,19:00,INJURED,43,F
1/27/12,16:00,INJURED,49,M
1/27/12,12:25,INJURED,63,M
1/27/12,07:30,INJURED,0,M
1/27/12,15:15,INJURED,0,M
1/27/12,17:50,INJURED,0,M
1/27/12,15:55,INJURED,0,M
1/27/12,15:45,INJURED,0,M
1/28/12,18:30,INJURED,20,F
1/28/12,12:30,INJURED,50,F
1/28/12,21:40,INJURED,53,M
1/28/12,08:40,INJURED,67,M
1/28/12,18:05,INJURED,0,F
1/28/12,17:40,INJURED,0,M
1/29/12,15:15,INJURED,29,F
1/29/12,18:30,INJURED,49,M
1/30/12,17:30,INJURED,20,M
1/30/12,11:50,NONE,25,F
1/30/12,06:00,INJURED,62,F
1/30/12,10:45,INJURED,0,M
1/31/12,13:45,INJURED,24,M
1/31/12,17:55,NONE,35,M
1/31/12,09:40,INJURED,38,F
1/31/12,17:25,INJURED,44,F
1/31/12,11:45,INJURED,71,M
1/31/12,13:20,INJURED,74,M
1/31/12,17:15,NONE,0,M
1/31/12,07:30,INJURED,0,M
2/1/12,15:30,INJURED,22,M
2/1/12,19:45,INJURED,27,F
2/1/12,13:10,INJURED,29,F
2/1/12,16:15,INJURED,30,M
2/1/12,10:15,INJURED,45,M
2/1/12,07:50,INJURED,47,F
2/1/12,07:00,INJURED,68,F
2/1/12,19:00,INJURED,70,F
2/1/12,06:45,INJURED,0,M
2/2/12,17:00,INJURED,20,M
2/2/12,16:10,INJURED,20,M
2/2/12,20:00,NONE,22,M
2/2/12,07:50,INJURED,22,M
2/2/12,11:20,INJURED,23,M
2/2/12,19:29,INJURED,24,M
2/2/12,16:00,INJURED,24,M
2/2/12,19:25,INJURED,27,M
2/2/12,18:50,INJURED,31,M
2/2/12,18:55,INJURED,31,M
2/2/12,13:30,INJURED,34,M
2/2/12,11:20,INJURED,36,F
2/2/12,15:55,INJURED,38,F
2/2/12,09:00,INJURED,44,M
2/2/12,11:40,NONE,48,M
2/2/12,14:30,INJURED,85,M
2/2/12,07:15,INJURED,0,M
2/3/12,15:40,INJURED,20,M
2/3/12,13:00,INJURED,23,M
2/3/12,00:45,INJURED,25,M
2/3/12,09:55,INJURED,33,F
2/3/12,20:15,INJURED,34,F
2/3/12,11:45,INJURED,47,M
2/3/12,21:30,INJURED,56,M
2/3/12,20:40,INJURED,0,M
2/3/12,15:55,INJURED,0,M
2/3/12,18:45,INJURED,0,M
2/3/12,07:45,INJURED,0,F
2/4/12,16:10,INJURED,24,F
2/4/12,15:30,INJURED,26,M
