date,time,injury,age,PED_ROLE,sex
11/21/2020,17:35,INJURED,75,Pedestrian,F
11/21/2020,17:00,INJURED,92,Pedestrian,F
11/21/2020,12:05,INJURED,22,Pedestrian,M
11/16/2020,17:59,INJURED,42,Pedestrian,F
11/21/2020,9:43,INJURED,88,Pedestrian,F
11/21/2020,22:10,INJURED,44,Pedestrian,M
11/21/2020,20:20,NONE,50,Pedestrian,M
11/21/2020,13:50,INJURED,43,Pedestrian,M
10/27/2020,19:00,INJURED,29,Pedestrian,M
11/18/2020,8:15,INJURED,28,Pedestrian,M
11/05/2020,13:00,INJURED,72,Pedestrian,M
11/21/2020,11:50,INJURED,64,Pedestrian,F
11/21/2020,2:54,INJURED,75,Pedestrian,M
11/21/2020,16:55,INJURED,25,Pedestrian,M
11/21/2020,9:00,INJURED,63,Pedestrian,M
11/20/2020,17:51,INJURED,39,Pedestrian,F
11/21/2020,3:25,INJURED,29,Pedestrian,F
11/18/2020,4:40,INJURED,64,Pedestrian,F
11/15/2020,15:50,INJURED,44,Pedestrian,M
11/21/2020,13:40,INJURED,58,Pedestrian,M
11/21/2020,11:20,INJURED,18,Pedestrian,M
11/12/2020,16:16,INJURED,61,Pedestrian,M
11/07/2020,13:15,INJURED,45,Pedestrian,F
11/19/2020,18:43,INJURED,31,Pedestrian,F
11/20/2020,12:09,INJURED,20,Pedestrian,F
11/19/2020,10:31,INJURED,35,Pedestrian,F
11/20/2020,22:37,INJURED,,Pedestrian,M
11/16/2020,14:00,INJURED,47,Pedestrian,M
11/19/2020,17:20,INJURED,56,Pedestrian,M
11/20/2020,12:44,INJURED,68,Pedestrian,M
11/20/2020,20:00,INJURED,23,Pedestrian,M
11/10/2020,9:13,INJURED,43,Pedestrian,M
11/17/2020,22:06,INJURED,27,Pedestrian,F
11/20/2020,16:04,INJURED,71,Pedestrian,F
11/18/2020,20:00,INJURED,29,Pedestrian,F
11/19/2020,19:00,INJURED,66,Pedestrian,F
11/18/2020,18:12,NONE,,Pedestrian,M
11/20/2020,22:15,INJURED,15,Pedestrian,F
11/20/2020,18:44,INJURED,13,Pedestrian,F
11/20/2020,20:00,INJURED,23,Pedestrian,M
11/12/2020,0:00,INJURED,41,Pedestrian,F
11/18/2020,8:15,INJURED,62,Pedestrian,F
11/13/2020,9:20,INJURED,81,Pedestrian,M
11/14/2020,14:08,INJURED,6,Pedestrian,M
11/17/2020,15:55,INJURED,11,Pedestrian,F
11/19/2020,12:00,NONE,58,Pedestrian,F
11/12/2020,17:30,INJURED,70,Pedestrian,M
11/12/2020,16:13,INJURED,,Pedestrian,M
11/19/2020,17:10,INJURED,36,Pedestrian,F
11/18/2020,12:10,INJURED,50,Pedestrian,F
11/18/2020,13:50,INJURED,37,Pedestrian,F
11/18/2020,13:40,INJURED,24,Pedestrian,F
11/20/2020,9:50,INJURED,48,Pedestrian,M
11/12/2020,14:58,INJURED,41,Pedestrian,M
10/29/2020,6:45,INJURED,67,Pedestrian,M
11/11/2020,18:33,NONE,36,Pedestrian,M
11/12/2020,17:15,INJURED,83,Pedestrian,F
11/13/2020,18:30,NONE,27,Pedestrian,F
10/29/2020,19:18,INJURED,45,Pedestrian,F
11/12/2020,8:26,INJURED,71,Pedestrian,F
11/13/2020,7:00,NONE,29,Pedestrian,M
11/11/2020,19:06,INJURED,59,Pedestrian,F
11/11/2020,16:12,INJURED,45,Pedestrian,F
11/13/2020,18:32,INJURED,34,Pedestrian,M
11/13/2020,17:57,INJURED,33,Pedestrian,F
11/12/2020,18:20,NONE,58,Pedestrian,M
11/12/2020,15:25,INJURED,59,Pedestrian,F
11/12/2020,15:08,KILLED,71,Pedestrian,M
11/13/2020,15:51,INJURED,40,Pedestrian,M
11/12/2020,15:45,INJURED,68,Pedestrian,F
11/11/2020,18:30,INJURED,43,Pedestrian,F
11/04/2020,1:00,INJURED,70,Pedestrian,M
10/19/2020,14:20,INJURED,15,Pedestrian,M
11/13/2020,12:38,INJURED,6,Pedestrian,M
11/11/2020,18:33,NONE,25,Pedestrian,M
11/11/2020,17:30,INJURED,33,Pedestrian,F
11/12/2020,11:45,INJURED,49,Pedestrian,M
11/13/2020,17:21,INJURED,28,Pedestrian,M
11/11/2020,17:53,INJURED,37,Pedestrian,F
11/13/2020,12:38,INJURED,40,Pedestrian,F
11/11/2020,18:09,INJURED,55,Pedestrian,F
11/12/2020,18:38,NONE,40,Pedestrian,M
11/12/2020,6:00,INJURED,35,Pedestrian,M
11/13/2020,23:25,INJURED,50,Pedestrian,M
11/11/2020,15:30,INJURED,30,Pedestrian,M
11/13/2020,15:45,INJURED,46,Pedestrian,M
11/13/2020,22:20,INJURED,58,Pedestrian,F
11/11/2020,17:15,INJURED,82,Pedestrian,M
11/11/2020,18:37,NONE,41,Pedestrian,M
11/12/2020,9:19,NONE,57,Pedestrian,F
11/11/2020,19:00,INJURED,24,Pedestrian,F
11/12/2020,17:00,INJURED,20,Pedestrian,F
11/12/2020,19:38,INJURED,34,Pedestrian,M
11/11/2020,16:50,INJURED,40,Pedestrian,M
11/11/2020,19:33,INJURED,21,Pedestrian,F
11/12/2020,18:00,INJURED,43,Pedestrian,F
11/12/2020,18:38,NONE,35,Pedestrian,F
11/11/2020,17:35,INJURED,37,Pedestrian,M
11/12/2020,19:28,INJURED,44,Pedestrian,F
11/11/2020,19:11,INJURED,22,Pedestrian,M
11/12/2020,20:52,INJURED,18,Pedestrian,F
11/11/2020,19:15,INJURED,28,Pedestrian,M
11/12/2020,12:00,INJURED,67,Pedestrian,F
11/13/2020,15:45,INJURED,24,Pedestrian,M
11/09/2020,20:00,INJURED,27,Pedestrian,F
11/13/2020,15:45,INJURED,,Pedestrian,F
11/11/2020,16:02,INJURED,54,Pedestrian,M
11/13/2020,17:40,INJURED,31,Pedestrian,F
11/11/2020,17:30,INJURED,22,Pedestrian,F
11/13/2020,20:46,INJURED,46,Pedestrian,M
11/10/2020,17:30,INJURED,52,Pedestrian,F
11/11/2020,21:00,INJURED,23,Pedestrian,M
11/13/2020,17:31,INJURED,59,Pedestrian,M
11/10/2020,21:23,INJURED,17,Pedestrian,F
11/11/2020,10:45,INJURED,64,Pedestrian,M
11/13/2020,17:40,INJURED,68,Pedestrian,F
11/10/2020,10:03,INJURED,71,Pedestrian,F
11/09/2020,15:53,INJURED,72,Pedestrian,F
11/10/2020,9:50,NONE,28,Pedestrian,M
11/10/2020,13:10,INJURED,48,Pedestrian,F
11/10/2020,11:23,INJURED,,Pedestrian,M
11/10/2020,20:15,INJURED,19,Pedestrian,F
11/10/2020,8:48,INJURED,34,Pedestrian,F
11/10/2020,9:45,INJURED,21,Pedestrian,F
11/10/2020,11:45,INJURED,18,Pedestrian,F
11/10/2020,16:00,INJURED,72,Pedestrian,F
11/10/2020,19:15,INJURED,62,Pedestrian,M
11/10/2020,9:35,INJURED,61,Pedestrian,F
11/10/2020,22:52,INJURED,63,Pedestrian,M
11/10/2020,14:15,INJURED,56,Pedestrian,M
